#{"t_start": 1588326508.1600094, "env_id": "MiniGrid-DistShift1-v0"}
r,l,t
0,7,4.516052
0,105,4.72716
0,136,4.999386
0,252,5.493859
0,252,6.149118
0,84,6.320773
0,28,6.374097
0,173,7.139088
0,14,7.165843
0,19,7.202556
0,62,7.326382
0,17,7.362627
0,35,7.432637
0,78,7.584845
0,252,8.099538
0,3,8.105512
0,11,8.126351
0,252,8.626091
0,252,9.139219
0,214,9.740453
0,173,10.089552
0,252,10.593024
0,252,11.100616
0,5,21.961289
0,252,22.478308
0,88,22.654806
0,38,22.73436
0,185,23.127481
0,10,23.146062
0,24,23.19216
0,139,23.472731
0,9,23.490025
0,61,23.612966
0,38,23.687914
0,48,23.784092
0,18,23.820225
0,8,23.835822
0.432143,159,24.583178
0,184,24.957024
0,252,25.613258
0,19,25.65136
0,63,25.776184
0,249,26.278104
0,252,26.951809
0,203,27.364348
0,104,27.570563
0,252,28.092427
0,82,28.259818
0,252,28.776622
0.142857,240,37.541887
0,92,37.728766
0,6,37.740041
0,81,37.907947
0,14,37.936951
0,68,38.075221
0,252,38.585351
0,46,38.679712
0,28,38.738089
0,136,39.014103
0,215,39.881306
0,21,39.922863
0,127,40.190284
0,252,40.710361
0,133,40.977391
0,44,41.064644
0,184,41.448901
0,37,41.522355
0,27,41.57548
0,252,42.239335
0,2,42.243344
0,252,42.76592
0,75,42.914921
0,29,42.973979
0,252,43.483717
0.482143,145,43.772023
0,69,44.255902
0,252,44.779109
0,252,45.449661
0,252,45.952867
0,252,46.475297
0,252,47.160274
0,252,47.681619
0,93,47.86491
0,252,48.385489
0,174,48.737756
0,252,49.428954
0,252,49.947934
0,252,50.463414
0,252,50.981342
0,56,56.867067
0,37,56.941373
0,29,56.998187
0,252,57.514163
0,21,57.558771
0,252,58.063101
0,52,58.167195
0,25,58.221821
0,26,58.27349
0,66,58.406843
0,22,58.451064
0,47,58.546841
0,245,59.478156
0,104,59.695278
0,50,59.794566
0,49,59.889249
0,35,59.961222
0,25,60.010393
0,7,60.024479
0,252,60.536303
0,252,61.052647
0,252,61.723385
0,252,62.238421
0,252,62.748423
0,252,63.263959
0,252,64.133498
0,110,64.374905
0,206,64.803922
0,80,64.971956
0,128,65.238174
0,252,65.758488
0,252,66.459985
0,252,66.977355
0,252,67.492869
0,252,68.007295
0,190,68.570472
0,54,68.683774
0,130,68.957143
0,221,69.411818
0,252,69.935911
0,252,70.4474
0,221,71.093062
0,252,71.618778
0,252,72.13778
0,252,72.656129
0,252,73.34239
0,5,73.352289
0,252,73.86221
0,252,74.377005
0,252,74.884928
0,252,75.575479
0,252,76.090533
0,252,76.61106
0,252,77.121894
0,252,77.847066
0,252,78.360931
0,94,78.552575
0,252,79.066452
0,252,79.57374
0,252,80.260972
0,78,80.419858
0,252,80.938652
0.232143,215,81.379127
0.346429,183,81.750616
0,252,82.439511
0,252,82.951923
0,252,83.47098
0,252,83.983444
0,252,84.690391
0,252,85.211362
0,252,85.722497
0,252,86.243292
0,252,86.937843
0,252,87.440454
0,252,87.957804
0.407143,166,88.2967
0,252,88.96134
0,252,89.636856
0,252,90.153764
0,252,90.663335
0,252,91.182874
0,142,100.595204
0,252,101.118252
0,102,101.338428
0,124,101.594201
0,129,101.854811
0,3,101.860872
0,111,102.097162
0,26,102.150385
0,252,103.076138
0,201,103.488876
0,242,103.988286
0,252,104.499591
0,33,104.56704
0,252,105.249254
0,252,105.76198
0,252,106.286911
0,252,106.793136
0,252,107.644063
0,197,108.048155
0,10,108.06937
0,188,108.462113
0,252,108.975276
0,20,109.018041
0,16,109.049808
0,252,109.562205
0,126,110.000268
0,252,110.513736
0,212,110.937698
0,252,111.46526
0,252,112.140615
0,252,112.650312
0,252,113.159333
0,252,113.670547
0,252,114.366556
0,252,114.887136
0,252,115.389416
0,252,115.901175
0.210714,221,116.352163
0,31,116.574221
0,252,117.086626
0,252,117.599347
0,252,118.116094
0,252,118.631118
0,252,119.318609
0,252,119.8282
0,252,120.346664
0,246,120.837864
0,252,121.54698
0,252,122.053713
0,252,122.569972
0,252,123.072496
0,252,123.7574
0,252,124.247539
0,252,124.765166
0,157,125.073268
0,252,125.744944
0,71,125.888908
0,252,126.395813
0,252,126.905499
0,252,127.421421
0,252,128.129431
0,252,128.63301
0,252,129.141885
0,252,129.648867
0,252,130.32122
0,252,130.833019
0,76,130.988731
0,252,131.488306
0,252,131.996739
0,252,132.674576
0,252,133.207457
0,252,133.731274
0,252,134.241862
0,248,134.940391
0,252,135.444713
0,252,135.963874
0,183,136.32516
0,252,136.98092
0,252,137.475191
0,252,137.991861
0,252,138.507898
0,252,139.189367
0.117857,247,139.680283
0,252,140.192325
0,252,140.69778
0,252,141.406335
0,252,141.914996
0,245,142.401333
0,252,142.914362
0,252,143.589854
0,166,143.921134
0,252,144.422747
0,252,144.928617
0,252,145.458912
0,252,146.128266
0,252,146.636648
0,252,147.148998
0,252,147.662955
0,252,148.373124
0,252,148.880664
0,252,149.394765
0,252,149.9036
0,252,150.566525
0,252,151.062413
0,252,151.56389
0,252,152.070656
0,252,152.737323
0,252,153.2605
0,252,153.771697
0,252,154.279714
0,252,154.981873
0,198,155.379747
0,252,155.891588
0,252,156.410463
0,252,157.088125
0,252,157.608429
0,252,158.11528
0,252,158.623185
0,252,159.29256
0,205,159.715773
0,252,160.234014
0,252,160.752817
0,252,161.261168
0,252,161.969487
0,252,162.474557
0,252,162.984095
0,252,163.491071
0,9,163.509976
0,252,164.183586
0,252,164.702502
0,252,165.221939
0,252,165.741124
0,252,166.421761
0,196,166.814509
0,13,166.84133
0,252,167.357339
0,145,167.647856
0,252,168.336401
0,252,168.850446
0,252,169.356705
0,252,169.872014
0,252,170.542753
0,252,171.051176
0,252,171.558278
0,252,172.070122
0,252,172.582773
0,252,188.538248
0,87,188.70621
0,130,188.961933
0,252,189.467435
0,221,189.917551
0,7,189.931643
0,46,190.024391
0,144,190.742633
0,252,191.237838
0,252,191.745689
0.542857,128,192.000737
0,101,192.203097
0,252,192.872931
0,252,193.392436
0,5,193.401602
0,29,193.459246
0,85,193.630908
0,98,193.832074
0,55,193.943358
0,252,194.445096
0,252,195.311995
0.317857,191,195.719934
0,252,196.242372
0,190,196.632528
0,252,197.128722
0,15,197.158118
0,252,197.854862
0,79,198.018022
0,252,198.527988
0,83,198.697545
0,252,199.203958
0,65,199.340303
0,252,200.031763
0,252,200.545132
0,252,201.052547
0,252,201.561476
0,252,202.267505
0,92,202.454326
0,137,202.729838
0,176,203.083637
0,252,203.592402
0,252,204.27151
0,252,204.777753
0,252,205.292023
0,252,205.791583
0,252,206.471748
0,252,206.966519
